date,price,bid,ask,vol,dollar_vol
2017-01-31,101.97,101.97,101.98,2479.0,252783.63
2017-02-01,101.78,101.74,101.77,1159.0,117963.02
2017-02-02,101.82,101.82,101.83,826.0,84103.31999999999
2017-02-03,102.8,102.78,102.79,6038.0,620706.4
2017-02-04,,,,,
2017-02-05,,,,,
2017-02-06,102.48,102.47,102.48,877.0,89874.96
2017-02-07,102.3,102.31,102.32,4326.0,442549.8
2017-02-08,102.34,102.33,102.34,1790.0,183188.6
2017-02-09,103.09,103.06,103.09,1364.0,140614.76
2017-02-10,103.4484,103.41,103.59,9105.0,941897.682
2017-02-11,,,,,
2017-02-12,,,,,
2017-02-13,104.08,104.09,104.1,7223.0,751769.84
2017-02-14,104.67,104.64,104.66,5802.0,607295.34
2017-02-15,105.17,105.17,105.18,1048.0,110218.16
2017-02-16,105.07,105.04,105.05,984.0,103388.87999999999
2017-02-17,105.2093,105.08,105.24,625000.0,65755812.5
2017-02-18,,,,,
2017-02-19,,,,,
2017-02-20,,,,,
2017-02-21,105.95200000000001,105.83,105.99,171000.0,18117792.000000004
2017-02-22,105.76,105.75,105.76,44166.0,4670996.16
2017-02-23,105.965,105.95,106.12,132000.0,13987380.0
2017-02-24,105.94,105.94,105.96,1307.0,138463.58
2017-02-25,,,,,
2017-02-26,,,,,
2017-02-27,106.13,106.1,106.13,289.0,30671.57
2017-02-28,105.83,105.86,105.88,4789.0,506819.87
2017-03-01,107.43,107.44,107.46,3845.0,413068.35000000003
2017-03-02,106.74,106.74,106.76,1212.0,129368.87999999999
2017-03-03,106.71,106.71,106.72,70453.0,7518039.63
2017-03-04,,,,,
2017-03-05,,,,,
2017-03-06,106.3,106.26,106.28,171028.0,18180276.4
2017-03-07,105.8,105.79,105.8,5048.0,534078.4
2017-03-08,105.39,105.34,105.49,100.0,10539.0
2017-03-09,105.61,105.58,105.59,27693.0,2924657.73
2017-03-10,105.85,105.84,105.86,241.0,25509.85
2017-03-11,,,,,
2017-03-12,,,,,
2017-03-13,105.85,105.83,105.84,1578.0,167031.3
2017-03-14,105.43,105.43,105.44,2139.0,225514.77000000002
2017-03-15,106.21,106.14,106.21,3000.0,318630.0
2017-03-16,106.12,105.62,106.74,100.0,10612.0
2017-03-17,105.71,105.71,105.72,2317.0,244930.06999999998
2017-03-18,,,,,
2017-03-19,,,,,
2017-03-20,105.35,105.34,105.35,3115.0,328165.25
2017-03-21,103.88,103.88,103.89,5300.0,550564.0
2017-03-22,103.9,103.91,103.92,13941.0,1448469.9000000001
2017-03-23,103.88,103.86,103.89,2900.0,301252.0
2017-03-24,103.28,103.29,103.3,1593.0,164525.04
